series_id,date,units_sold,price,marketing_spend,promotion_flag
FOODS_3_090__CA_1,2011-01-29,107,1.25,0.0,0
FOODS_3_090__CA_1,2011-01-30,182,1.25,0.0,0
FOODS_3_090__CA_1,2011-01-31,47,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-01,47,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-02,62,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-03,90,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-04,81,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-05,124,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-06,134,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-07,65,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-08,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-09,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-10,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-11,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-12,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-13,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-14,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-15,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-16,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-17,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-18,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-19,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-20,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-21,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-22,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-23,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-24,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-25,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-26,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-27,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-02-28,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-01,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-02,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-03,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-04,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-05,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-06,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-07,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-08,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-09,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-10,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-11,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-12,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-13,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-14,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-15,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-16,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-17,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-18,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-19,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-20,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-21,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-22,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-23,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-24,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-25,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-26,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-27,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-28,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-29,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-30,0,1.25,0.0,0
FOODS_3_090__CA_1,2011-03-31,0,1.25,0.0,0
